,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
98,Wolfsburg,1,2.71,16,9,11,9.65,1.62,Borussia Dortmund,5,2.34,10,9,4,21.80,1.16
99,Wolfsburg,0,1.32,19,3,8,7.88,2.32,Mainz 05,0,0.26,7,2,7,11.41,0.43
100,Wolfsburg,0,0.68,10,2,3,7.00,0.49,RasenBallsport Leipzig,1,1.82,13,6,9,8.41,2.30
101,Darmstadt,3,1.38,10,5,5,17.39,2.07,Wolfsburg,1,0.58,9,1,3,8.22,0.66
102,Wolfsburg,1,1.11,6,2,3,4.69,0.68,Bayer Leverkusen,2,2.12,18,6,10,5.97,2.10
103,Freiburg,0,0.92,13,2,2,9.40,0.50,Wolfsburg,3,2.13,14,5,4,8.21,2.31
104,Wolfsburg,0,0.27,8,0,2,7.50,0.57,Schalke 04,1,1.12,19,4,2,4.30,2.12
105,Ingolstadt,1,3.69,20,5,10,11.11,2.90,Wolfsburg,1,0.50,10,3,2,5.08,0.06
106,Wolfsburg,2,1.14,6,4,2,22.47,1.00,Hertha Berlin,3,1.55,18,8,8,8.15,1.67
107,Wolfsburg,1,1.75,15,3,6,9.85,1.63,Eintracht Frankfurt,0,1.39,8,1,3,6.20,1.09
108,B. Monchengladbach,1,1.54,20,4,5,6.71,0.89,Wolfsburg,2,2.26,18,7,3,13.11,1.89
